rgb+hsv_b0_concat,0
rgb+hsv_b0_ave, 0.838
rgb+hsv_b0_half,0
rgb+hsv_b0_crop,0
rgb+hsv_b1_concat,0
rgb+hsv_b1_ave, 0.8395
rgb+hsv_b1_half, 0
rgb+hsv_b1_crop,0
rgb+hsv_b2_concat,0
rgb+hsv_b2_ave,0.8431
rgb+hsv_b2_half,0
rgb+hsv_b2_crop,0
rgb+hsv_b3_concat,0
rgb+hsv_b3_ave,0.8347
rgb+hsv_b3_half,0
rgb+hsv_b3_crop,0
rgb, 0.8419
hsv, 0.8431
lab,0.85
rgb+no_b0_concat,0
rgb+no_b0_ave,0
rgb+no_b0_half,0
rgb+no_b0_crop,0
rgb+no_b1_concat,0
rgb+no_b1_ave,0
rgb+no_b1_half,0
rgb+no_b1_crop,0
rgb+no_b2_concat,0
rgb+no_b2_ave,0
rgb+no_b2_half,0
rgb+no_b2_crop,0
rgb+no_b3_concat,0
rgb+no_b3_ave,0
rgb+no_b3_half,0
rgb+no_b3_crop,0
